root=Art_Sparxie_00
avatar=Avatar_Sparxie_00_Model_CharaAvatar
format=smrPath	index	bonePath(m_Bones)	boneHash(hex)	hashPath(avatar)	status
Art_Sparxie_00/Body	10	Art_Sparxie_00/Main/Root_M/Spine1_M/skirt_JNT/skirtBackLeft_01_JNT/skirtBackLeft_02_JNT	0x95DC4104	Main/Root_M/Spine1_M/skirt_JNT/skirtBackLeft_01_JNT/skirtBackLeft_02_JNT	match
Art_Sparxie_00/Body	11	Art_Sparxie_00/Main/Root_M/Spine1_M/skirt_JNT/skirtBackLeft_01_JNT/skirtBackLeft_02_JNT/skirtBackLeft_03_JNT	0x334817D4	Main/Root_M/Spine1_M/skirt_JNT/skirtBackLeft_01_JNT/skirtBackLeft_02_JNT/skirtBackLeft_03_JNT	match
Art_Sparxie_00/Body	12	Art_Sparxie_00/Main/Root_M/Spine1_M/skirt_JNT/skirtBackRight_01_JNT	0x7DE085CB	Main/Root_M/Spine1_M/skirt_JNT/skirtBackRight_01_JNT	match
Art_Sparxie_00/Body	13	Art_Sparxie_00/Main/Root_M/Spine1_M/skirt_JNT/skirtBackRight_01_JNT/skirtBackRight_02_JNT	0xC71913BD	Main/Root_M/Spine1_M/skirt_JNT/skirtBackRight_01_JNT/skirtBackRight_02_JNT	match
Art_Sparxie_00/Body	14	Art_Sparxie_00/Main/Root_M/Spine1_M/skirt_JNT/skirtBackRight_01_JNT/skirtBackRight_02_JNT/skirtBackRight_03_JNT	0x6289699B	Main/Root_M/Spine1_M/skirt_JNT/skirtBackRight_01_JNT/skirtBackRight_02_JNT/skirtBackRight_03_JNT	match
Art_Sparxie_00/Body	15	Art_Sparxie_00/Main/Root_M/Spine1_M/skirt_JNT/skirtRight_01_JNT	0x08FE6B46	Main/Root_M/Spine1_M/skirt_JNT/skirtRight_01_JNT	match
Art_Sparxie_00/Body	16	Art_Sparxie_00/Main/Root_M/Spine1_M/skirt_JNT/skirtRight_01_JNT/skirtRight_02_JNT	0x224262FE	Main/Root_M/Spine1_M/skirt_JNT/skirtRight_01_JNT/skirtRight_02_JNT	match
Art_Sparxie_00/Body	17	Art_Sparxie_00/Main/Root_M/Spine1_M/skirt_JNT/skirtRight_01_JNT/skirtRight_02_JNT/skirtRight_03_JNT	0x51465B61	Main/Root_M/Spine1_M/skirt_JNT/skirtRight_01_JNT/skirtRight_02_JNT/skirtRight_03_JNT	match
Art_Sparxie_00/Body	18	Art_Sparxie_00/Main/Root_M/Spine1_M/skirt_JNT/skirtFrontRight_01_JNT	0xB4888114	Main/Root_M/Spine1_M/skirt_JNT/skirtFrontRight_01_JNT	match
Art_Sparxie_00/Body	19	Art_Sparxie_00/Main/Root_M/Spine1_M/skirt_JNT/skirtFrontRight_01_JNT/skirtFrontRight_02_JNT	0x09832DF0	Main/Root_M/Spine1_M/skirt_JNT/skirtFrontRight_01_JNT/skirtFrontRight_02_JNT	match
Art_Sparxie_00/Body	20	Art_Sparxie_00/Main/Root_M/Spine1_M/skirt_JNT/skirtFrontRight_01_JNT/skirtFrontRight_02_JNT/skirtFrontRight_03_JNT	0x63E2D22D	Main/Root_M/Spine1_M/skirt_JNT/skirtFrontRight_01_JNT/skirtFrontRight_02_JNT/skirtFrontRight_03_JNT	match
Art_Sparxie_00/Body	21	Art_Sparxie_00/Main/Root_M/Spine1_M/skirt_JNT/skirtBack_01_JNT	0xA31CED63	Main/Root_M/Spine1_M/skirt_JNT/skirtBack_01_JNT	match
Art_Sparxie_00/Body	22	Art_Sparxie_00/Main/Root_M/Spine1_M/skirt_JNT/skirtBack_01_JNT/skirtBack_02_JNT	0x555AE6DE	Main/Root_M/Spine1_M/skirt_JNT/skirtBack_01_JNT/skirtBack_02_JNT	match
Art_Sparxie_00/Body	23	Art_Sparxie_00/Main/Root_M/Spine1_M/skirt_JNT/skirtBack_01_JNT/skirtBack_02_JNT/skirtBack_03_JNT	0xDAFE9F30	Main/Root_M/Spine1_M/skirt_JNT/skirtBack_01_JNT/skirtBack_02_JNT/skirtBack_03_JNT	match
Art_Sparxie_00/Body	24	Art_Sparxie_00/Main/Root_M/Spine1_M/skirt_JNT	0x12023B50	Main/Root_M/Spine1_M/skirt_JNT	match
Art_Sparxie_00/Body	25	Art_Sparxie_00/Main/Root_M/Spine1_M/Spine2_M/Chest_M/breast_R	0xA9FDAE69	Main/Root_M/Spine1_M/Spine2_M/Chest_M/breast_R	match
Art_Sparxie_00/Body	26	Art_Sparxie_00/Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_L	0xAD87EA6A	Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_L	match
Art_Sparxie_00/Body	27	Art_Sparxie_00/Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_L/Shoulder_L/ShoulderPart1_L	0xDB6AA19F	Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_L/Shoulder_L/ShoulderPart1_L	match
Art_Sparxie_00/Body	28	Art_Sparxie_00/Main/Root_M/Spine1_M/Spine2_M/Chest_M/breast_L	0x53F2930A	Main/Root_M/Spine1_M/Spine2_M/Chest_M/breast_L	match
Art_Sparxie_00/Body	29	Art_Sparxie_00/Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_L/Shoulder_L/Elbow_L/ClothL_All_JNT/ClothSecUL_00_JNT	0x05DE0EFF	Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_L/Shoulder_L/Elbow_L/ClothL_All_JNT/ClothSecUL_00_JNT	match
Art_Sparxie_00/Body	30	Art_Sparxie_00/Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_L/Shoulder_L/Elbow_L/ClothL_All_JNT/ClothSecUL_00_JNT/ClothSecUL_01_JNT	0x0D997291	Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_L/Shoulder_L/Elbow_L/ClothL_All_JNT/ClothSecUL_00_JNT/ClothSecUL_01_JNT	match
Art_Sparxie_00/Body	31	Art_Sparxie_00/Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_L/Shoulder_L/Elbow_L/ClothL_All_JNT/ClothSecUL_00_JNT/ClothSecUL_01_JNT/ClothSecUL_02_JNT	0x597DB6B2	Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_L/Shoulder_L/Elbow_L/ClothL_All_JNT/ClothSecUL_00_JNT/ClothSecUL_01_JNT/ClothSecUL_02_JNT	match
Art_Sparxie_00/Body	32	Art_Sparxie_00/Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_L/Shoulder_L/Elbow_L/ClothL_All_JNT/ClothSecUL_00_JNT/ClothSecUL_01_JNT/ClothSecUL_02_JNT/ClothSecUL_03_JNT	0xF277DE26	Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_L/Shoulder_L/Elbow_L/ClothL_All_JNT/ClothSecUL_00_JNT/ClothSecUL_01_JNT/ClothSecUL_02_JNT/ClothSecUL_03_JNT	match
Art_Sparxie_00/Body	33	Art_Sparxie_00/Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_L/Shoulder_L/Elbow_L/ClothL_All_JNT/ClothSecUL_00_JNT/ClothSecUL_01_JNT/ClothSecUL_02_JNT/ClothSecUL_03_JNT/ClothSecUL_04_JNT	0xB2C7A5CE	Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_L/Shoulder_L/Elbow_L/ClothL_All_JNT/ClothSecUL_00_JNT/ClothSecUL_01_JNT/ClothSecUL_02_JNT/ClothSecUL_03_JNT/ClothSecUL_04_JNT	match
Art_Sparxie_00/Body	34	Art_Sparxie_00/Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_L/Shoulder_L/Elbow_L/ClothL_All_JNT/ClothSecUL_00_JNT/ClothSecUL_01_JNT/ClothSecUL_02_JNT/ClothSecUL_03_JNT/ClothSecUL_04_JNT/ClothSecUL_05_JNT	0x677605A0	Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_L/Shoulder_L/Elbow_L/ClothL_All_JNT/ClothSecUL_00_JNT/ClothSecUL_01_JNT/ClothSecUL_02_JNT/ClothSecUL_03_JNT/ClothSecUL_04_JNT/ClothSecUL_05_JNT	match
Art_Sparxie_00/Body	35	Art_Sparxie_00/Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_L/Shoulder_L/Elbow_L/ClothL_All_JNT/ClothSecDL_00_JNT	0xBE6558CD	Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_L/Shoulder_L/Elbow_L/ClothL_All_JNT/ClothSecDL_00_JNT	match
Art_Sparxie_00/Body	36	Art_Sparxie_00/Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_L/Shoulder_L/Elbow_L/ClothL_All_JNT/ClothSecDL_00_JNT/ClothSecDL_01_JNT	0x86DA94B7	Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_L/Shoulder_L/Elbow_L/ClothL_All_JNT/ClothSecDL_00_JNT/ClothSecDL_01_JNT	match
Art_Sparxie_00/Body	37	Art_Sparxie_00/Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_L/Shoulder_L/Elbow_L/ClothL_All_JNT/ClothSecDL_00_JNT/ClothSecDL_01_JNT/ClothSecDL_02_JNT	0x4864DB96	Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_L/Shoulder_L/Elbow_L/ClothL_All_JNT/ClothSecDL_00_JNT/ClothSecDL_01_JNT/ClothSecDL_02_JNT	match
Art_Sparxie_00/Body	38	Art_Sparxie_00/Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_L/Shoulder_L/Elbow_L/ClothL_All_JNT/ClothSecDL_00_JNT/ClothSecDL_01_JNT/ClothSecDL_02_JNT/ClothSecDL_03_JNT	0xB8BC67D9	Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_L/Shoulder_L/Elbow_L/ClothL_All_JNT/ClothSecDL_00_JNT/ClothSecDL_01_JNT/ClothSecDL_02_JNT/ClothSecDL_03_JNT	match
Art_Sparxie_00/Body	39	Art_Sparxie_00/Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_L/Shoulder_L/Elbow_L/ClothL_All_JNT/ClothSecDL_00_JNT/ClothSecDL_01_JNT/ClothSecDL_02_JNT/ClothSecDL_03_JNT/ClothSecDL_04_JNT	0xFF64F737	Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_L/Shoulder_L/Elbow_L/ClothL_All_JNT/ClothSecDL_00_JNT/ClothSecDL_01_JNT/ClothSecDL_02_JNT/ClothSecDL_03_JNT/ClothSecDL_04_JNT	match
Art_Sparxie_00/Body	40	Art_Sparxie_00/Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_L/Shoulder_L/Elbow_L/ClothL_All_JNT/ClothSecDL_00_JNT/ClothSecDL_01_JNT/ClothSecDL_02_JNT/ClothSecDL_03_JNT/ClothSecDL_04_JNT/ClothSecDL_05_JNT	0x89197EF2	Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_L/Shoulder_L/Elbow_L/ClothL_All_JNT/ClothSecDL_00_JNT/ClothSecDL_01_JNT/ClothSecDL_02_JNT/ClothSecDL_03_JNT/ClothSecDL_04_JNT/ClothSecDL_05_JNT	match
Art_Sparxie_00/Body	41	Art_Sparxie_00/Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_L/Shoulder_L/Elbow_L/ClothL_All_JNT/ClothSecDL_00_JNT/ClothSecDL_01_JNT/ClothSecDL_02_JNT/ClothSecDL_03_JNT/ClothSecDL_04_JNT/ClothSecDL_05_JNT/ClothSecDL_06_JNT	0x1715430F	Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_L/Shoulder_L/Elbow_L/ClothL_All_JNT/ClothSecDL_00_JNT/ClothSecDL_01_JNT/ClothSecDL_02_JNT/ClothSecDL_03_JNT/ClothSecDL_04_JNT/ClothSecDL_05_JNT/ClothSecDL_06_JNT	match
Art_Sparxie_00/Body	42	Art_Sparxie_00/Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_L/Shoulder_L/Elbow_L/ClothL_All_JNT/ClothSecDL_00_JNT/ClothSecDL_01_JNT/ClothSecDL_02_JNT/ClothSecDL_03_JNT/ClothSecDL_04_JNT/ClothSecDL_05_JNT/ClothSecDL_06_JNT/ClothSecDL_07_JNT/ClothSecDL_08_JNT	0xF6D515D4	Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_L/Shoulder_L/Elbow_L/ClothL_All_JNT/ClothSecDL_00_JNT/ClothSecDL_01_JNT/ClothSecDL_02_JNT/ClothSecDL_03_JNT/ClothSecDL_04_JNT/ClothSecDL_05_JNT/ClothSecDL_06_JNT/ClothSecDL_07_JNT/ClothSecDL_08_JNT	match
Art_Sparxie_00/Body	43	Art_Sparxie_00/Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_L/Shoulder_L/Elbow_L/ClothL_All_JNT/ClothSecUL_00_JNT/ClothSecUL_01_JNT/ClothSecUL_02_JNT/ClothSecUL_03_JNT/ClothSecUL_04_JNT/ClothSecUL_05_JNT/ClothSecUL_06_JNT	0xBA0BCF3F	Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_L/Shoulder_L/Elbow_L/ClothL_All_JNT/ClothSecUL_00_JNT/ClothSecUL_01_JNT/ClothSecUL_02_JNT/ClothSecUL_03_JNT/ClothSecUL_04_JNT/ClothSecUL_05_JNT/ClothSecUL_06_JNT	match
Art_Sparxie_00/Body	44	Art_Sparxie_00/Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_L/Shoulder_L/Elbow_L/ClothL_All_JNT/ClothSecUL_00_JNT/ClothSecUL_01_JNT/ClothSecUL_02_JNT/ClothSecUL_03_JNT/ClothSecUL_04_JNT/ClothSecUL_05_JNT/ClothSecUL_06_JNT/ClothSecUL_07_JNT	0xCE061EFE	Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_L/Shoulder_L/Elbow_L/ClothL_All_JNT/ClothSecUL_00_JNT/ClothSecUL_01_JNT/ClothSecUL_02_JNT/ClothSecUL_03_JNT/ClothSecUL_04_JNT/ClothSecUL_05_JNT/ClothSecUL_06_JNT/ClothSecUL_07_JNT	match
Art_Sparxie_00/Body	45	Art_Sparxie_00/Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_L/Shoulder_L/Elbow_L/ClothL_All_JNT/ClothSecUL_00_JNT/ClothSecUL_01_JNT/ClothSecUL_02_JNT/ClothSecUL_03_JNT/ClothSecUL_04_JNT/ClothSecUL_05_JNT/ClothSecUL_06_JNT/ClothSecUL_07_JNT/ClothSecUL_08_JNT	0x45B5A89B	Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_L/Shoulder_L/Elbow_L/ClothL_All_JNT/ClothSecUL_00_JNT/ClothSecUL_01_JNT/ClothSecUL_02_JNT/ClothSecUL_03_JNT/ClothSecUL_04_JNT/ClothSecUL_05_JNT/ClothSecUL_06_JNT/ClothSecUL_07_JNT/ClothSecUL_08_JNT	match
Art_Sparxie_00/Body	46	Art_Sparxie_00/Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_L/Shoulder_L/Elbow_L/ClothL_All_JNT/ClothSecUL_00_JNT/ClothSecUL_01_JNT/ClothSecUL_02_JNT/ClothSecUL_03_JNT/ClothSecUL_04_JNT/ClothSecUL_05_JNT/ClothSecUL_06_JNT/ClothSecUL_07_JNT/ClothSecUL_08_JNT/ClothSecUL_09_JNT	0x4BF0B55B	Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_L/Shoulder_L/Elbow_L/ClothL_All_JNT/ClothSecUL_00_JNT/ClothSecUL_01_JNT/ClothSecUL_02_JNT/ClothSecUL_03_JNT/ClothSecUL_04_JNT/ClothSecUL_05_JNT/ClothSecUL_06_JNT/ClothSecUL_07_JNT/ClothSecUL_08_JNT/ClothSecUL_09_JNT	match
Art_Sparxie_00/Body	47	Art_Sparxie_00/Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_R/Shoulder_R/Elbow_R/ClothR_All_JNT	0xB4EE6F72	Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_R/Shoulder_R/Elbow_R/ClothR_All_JNT	match
Art_Sparxie_00/Body	48	Art_Sparxie_00/Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_R/Shoulder_R/Elbow_R/ClothR_All_JNT/ClothSecUR_00_JNT	0x3A88027E	Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_R/Shoulder_R/Elbow_R/ClothR_All_JNT/ClothSecUR_00_JNT	match
Art_Sparxie_00/Body	49	Art_Sparxie_00/Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_R/Shoulder_R/Elbow_R/ClothR_All_JNT/ClothSecUR_00_JNT/ClothSecUR_01_JNT	0xB36EAA75	Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_R/Shoulder_R/Elbow_R/ClothR_All_JNT/ClothSecUR_00_JNT/ClothSecUR_01_JNT	match
Art_Sparxie_00/Body	50	Art_Sparxie_00/Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_R/Shoulder_R/Elbow_R/ClothR_All_JNT/ClothSecUR_00_JNT/ClothSecUR_01_JNT/ClothSecUR_02_JNT	0x75FEFB04	Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_R/Shoulder_R/Elbow_R/ClothR_All_JNT/ClothSecUR_00_JNT/ClothSecUR_01_JNT/ClothSecUR_02_JNT	match
Art_Sparxie_00/Body	51	Art_Sparxie_00/Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_R/Shoulder_R/Elbow_R/ClothR_All_JNT/ClothSecUR_00_JNT/ClothSecUR_01_JNT/ClothSecUR_02_JNT/ClothSecUR_03_JNT	0xBF494B89	Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_R/Shoulder_R/Elbow_R/ClothR_All_JNT/ClothSecUR_00_JNT/ClothSecUR_01_JNT/ClothSecUR_02_JNT/ClothSecUR_03_JNT	match
Art_Sparxie_00/Body	52	Art_Sparxie_00/Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_R/Shoulder_R/Elbow_R/ClothR_All_JNT/ClothSecUR_00_JNT/ClothSecUR_01_JNT/ClothSecUR_02_JNT/ClothSecUR_03_JNT/ClothSecUR_04_JNT	0x60B8782E	Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_R/Shoulder_R/Elbow_R/ClothR_All_JNT/ClothSecUR_00_JNT/ClothSecUR_01_JNT/ClothSecUR_02_JNT/ClothSecUR_03_JNT/ClothSecUR_04_JNT	match
Art_Sparxie_00/Body	53	Art_Sparxie_00/Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_R/Shoulder_R/Elbow_R/ClothR_All_JNT/ClothSecUR_00_JNT/ClothSecUR_01_JNT/ClothSecUR_02_JNT/ClothSecUR_03_JNT/ClothSecUR_04_JNT/ClothSecUR_05_JNT	0x9CD6ED20	Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_R/Shoulder_R/Elbow_R/ClothR_All_JNT/ClothSecUR_00_JNT/ClothSecUR_01_JNT/ClothSecUR_02_JNT/ClothSecUR_03_JNT/ClothSecUR_04_JNT/ClothSecUR_05_JNT	match
Art_Sparxie_00/Body	54	Art_Sparxie_00/Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_R/Shoulder_R/Elbow_R/ClothR_All_JNT/ClothSecUR_00_JNT/ClothSecUR_01_JNT/ClothSecUR_02_JNT/ClothSecUR_03_JNT/ClothSecUR_04_JNT/ClothSecUR_05_JNT/ClothSecUR_06_JNT	0x8FC5C3BF	Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_R/Shoulder_R/Elbow_R/ClothR_All_JNT/ClothSecUR_00_JNT/ClothSecUR_01_JNT/ClothSecUR_02_JNT/ClothSecUR_03_JNT/ClothSecUR_04_JNT/ClothSecUR_05_JNT/ClothSecUR_06_JNT	match
Art_Sparxie_00/Body	55	Art_Sparxie_00/Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_R/Shoulder_R/Elbow_R/ClothR_All_JNT/ClothSecUR_00_JNT/ClothSecUR_01_JNT/ClothSecUR_02_JNT/ClothSecUR_03_JNT/ClothSecUR_04_JNT/ClothSecUR_05_JNT/ClothSecUR_06_JNT/ClothSecUR_07_JNT	0x316541C8	Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_R/Shoulder_R/Elbow_R/ClothR_All_JNT/ClothSecUR_00_JNT/ClothSecUR_01_JNT/ClothSecUR_02_JNT/ClothSecUR_03_JNT/ClothSecUR_04_JNT/ClothSecUR_05_JNT/ClothSecUR_06_JNT/ClothSecUR_07_JNT	match
Art_Sparxie_00/Body	56	Art_Sparxie_00/Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_R/Shoulder_R/Elbow_R/ClothR_All_JNT/ClothSecUR_00_JNT/ClothSecUR_01_JNT/ClothSecUR_02_JNT/ClothSecUR_03_JNT/ClothSecUR_04_JNT/ClothSecUR_05_JNT/ClothSecUR_06_JNT/ClothSecUR_07_JNT/ClothSecUR_08_JNT	0xD152CC8C	Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_R/Shoulder_R/Elbow_R/ClothR_All_JNT/ClothSecUR_00_JNT/ClothSecUR_01_JNT/ClothSecUR_02_JNT/ClothSecUR_03_JNT/ClothSecUR_04_JNT/ClothSecUR_05_JNT/ClothSecUR_06_JNT/ClothSecUR_07_JNT/ClothSecUR_08_JNT	match
Art_Sparxie_00/Body	57	Art_Sparxie_00/Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_R/Shoulder_R/Elbow_R/ClothR_All_JNT/ClothSecUR_00_JNT/ClothSecUR_01_JNT/ClothSecUR_02_JNT/ClothSecUR_03_JNT/ClothSecUR_04_JNT/ClothSecUR_05_JNT/ClothSecUR_06_JNT/ClothSecUR_07_JNT/ClothSecUR_08_JNT/ClothSecUR_09_JNT	0xF57D226E	Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_R/Shoulder_R/Elbow_R/ClothR_All_JNT/ClothSecUR_00_JNT/ClothSecUR_01_JNT/ClothSecUR_02_JNT/ClothSecUR_03_JNT/ClothSecUR_04_JNT/ClothSecUR_05_JNT/ClothSecUR_06_JNT/ClothSecUR_07_JNT/ClothSecUR_08_JNT/ClothSecUR_09_JNT	match
Art_Sparxie_00/Body	58	Art_Sparxie_00/Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_R/Shoulder_R/Elbow_R/ClothR_All_JNT/ClothSecDR_00_JNT	0x8133544C	Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_R/Shoulder_R/Elbow_R/ClothR_All_JNT/ClothSecDR_00_JNT	match
Art_Sparxie_00/Body	59	Art_Sparxie_00/Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_R/Shoulder_R/Elbow_R/ClothR_All_JNT/ClothSecDR_00_JNT/ClothSecDR_01_JNT	0x382D4C53	Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_R/Shoulder_R/Elbow_R/ClothR_All_JNT/ClothSecDR_00_JNT/ClothSecDR_01_JNT	match
Art_Sparxie_00/Body	60	Art_Sparxie_00/Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_R/Shoulder_R/Elbow_R/ClothR_All_JNT/ClothSecDR_00_JNT/ClothSecDR_01_JNT/ClothSecDR_02_JNT	0x64E79620	Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_R/Shoulder_R/Elbow_R/ClothR_All_JNT/ClothSecDR_00_JNT/ClothSecDR_01_JNT/ClothSecDR_02_JNT	match
Art_Sparxie_00/Body	61	Art_Sparxie_00/Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_R/Shoulder_R/Elbow_R/ClothR_All_JNT/ClothSecDR_00_JNT/ClothSecDR_01_JNT/ClothSecDR_02_JNT/ClothSecDR_03_JNT	0xF582F276	Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_R/Shoulder_R/Elbow_R/ClothR_All_JNT/ClothSecDR_00_JNT/ClothSecDR_01_JNT/ClothSecDR_02_JNT/ClothSecDR_03_JNT	match
Art_Sparxie_00/Body	62	Art_Sparxie_00/Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_R/Shoulder_R/Elbow_R/ClothR_All_JNT/ClothSecDR_00_JNT/ClothSecDR_01_JNT/ClothSecDR_02_JNT/ClothSecDR_03_JNT/ClothSecDR_04_JNT	0x2D1B2AD7	Main/Root_M/Spine1_M/Spine2_M/Chest_M/Scapula_R/Shoulder_R/Elbow_R/ClothR_All_JNT/ClothSecDR_00_JNT/ClothSecDR_01_JNT/ClothSecDR_02_JNT/ClothSecDR_03_JNT/ClothSecDR_04_JNT	match
